ABN,Charity_Legal_Name,Other_Organisation_Names,Address_Type,Address_Line_1,Address_Line_2,Address_Line_3,Town_City,State,Postcode,Country,Charity_Website,Registration_Date,Date_Organisation_Established,Charity_Size,Number_of_Responsible_Persons,Financial_Year_End,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operating_Countries,PBI,HPC,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,LGBTIQA+,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth,animals,environment,other_gender_identities
97830467530,The Dale Family Foundation,,Business,L 15 216 St Georges Tce,,,Perth,WA,6000,Australia,,13/11/2024,13/11/2024,Large,2,30-Jun,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90175059896,The SJD Homes Foundation,,Business,433 Princes Hwy,,,Officer,VIC,3809,Australia,,27/10/2024,27/10/2024,Small,7,30-Jun,,,,,,,Y,,AUS,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,
75313755767,NORTH WEST REGIONAL LANDCARERS INC,,Business,Po Box 3122,,,West Tamworth,NSW,2340,Australia,www.nwrl.org.au,11/10/2023,11/10/2023,Medium,5,30-Jun,,Y,,,,,,,AUS,,,,,,,,Y,,,,,,,Y,Y,Y,,,,,,Y,,,Y,Y,,,,,,,,Y,,,,,Y,Y,Y,Y
54281755117,Catholic Cemeteries & Crematoria Trust,,Business,L 2 11 Murray Rose Ave,,,Sydney Olympic Park,NSW,2127,Australia,https://catholiccemeteries.com.au/,28/06/2024,25/06/2024,Large,5,30-Jun,,Y,,,,,,,AUS,,,,,,Y,,,,Y,,Y,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,
63247433977,HOPE ARABIC CHURCH INCORPORATED,"Hope Arabic Church - South Australia, كنيسة الرجاء العربية - جنوب أستراليا",Business,614 Burbridge Rd,,,West Beach,SA,5024,Australia,www.hopearabicchurch.com,18/06/2024,18/06/2024,Small,5,30-Jun,,,,,Y,,,,AUS,,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,Y,,,
61998274313,Frederick Miller Community Garden,,Business,Frederick Miller Reserve,3 Fourth Avenue,,Semaphore Park,SA,5019,Australia,,01/06/2022,21/03/2022,,3,30-Jun,,,,,Y,,,,,,,,,,,,Y,,,,,,,,Y,Y,Y,,Y,,,Y,,,Y,Y,,,,,,,,,,,,,Y,,,Y
63435376992,DELATITE LANDCARE GROUP INC,,Business,24 Highett St,,,Mansfield,VIC,3722,Australia,www.up2us.org.au,03/12/2013,25/05/1994,Small,7,30-Sep,,,,,,,Y,,AUS,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,
71689974409,TECHNION AUSTRALIA PBI LIMITED,,Business,L 9 151 Macquarie St,,,Sydney,NSW,2000,Australia,,20/08/2025,20/08/2025,,7,31-Dec,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,Y,,,,,Y,,,Y,,,,Y
75114361739,CAIRNS MAR THOMA CHURCH INCORPORATED,,Business,19 Tierney St,,,Innisfail Estate,QLD,4860,Australia,,17/06/2025,17/06/2025,,6,30-Jun,,,,Y,,,,,,,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,,,,,,,Y,,,,,Y,,,
34177564894,Kannada Sangha Queensland Inc.,,Business,15 Steelwood St,,,Heathwood,QLD,4110,Australia,www.kannadasanghaqld.org,05/07/2025,15/07/2005,,5,30-Jun,,,,Y,,,,,,,,,Y,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,,,Y,,Y,,,,,Y,,,
48468456143,John Lister Foundation,,Business,12 Frances Ave,,,Kalinga,QLD,4030,Australia,,14/05/2024,13/05/2024,Small,2,30-Jun,,,,,,,,,"AUS, KHM",,,,,Y,Y,,Y,,,,,,,,Y,,Y,Y,Y,,Y,Y,Y,,,Y,,,,,,,,Y,,,,,Y,Y,Y,
20613885410,Marradhali Aboriginal Corporation,,Business,73 Taylor Street,,,Dubbo,NSW,2830,Australia,www.marradhali.com.au,11/10/2023,05/09/2023,,5,30-Jun,,Y,,,,,,,,Y,,,Y,,,,,,,,,,,Y,,Y,Y,,,,,Y,,,,,,,,,,Y,Y,Y,Y,,,,Y,,,
45629238500,Margate Family Op Shop Trust,,Business,32 Baynes St,,,Margate,QLD,4019,Australia,https://www.facebook.com/margateopshop/,28/02/2024,28/02/2024,Small,1,30-Jun,,,,Y,,,,,AUS,,,,,,,,,,,,,Y,,,Y,Y,Y,,Y,,Y,,Y,,,,,,,Y,,,,,Y,,Y,Y,Y,,,
72886162186,Jonahs Wings,,Business,44 Reigate Rd,,,Highton,VIC,3216,Australia,www.jonahswings.com.au,22/07/2024,22/07/2024,,5,30-Jun,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,
57328293880,Donnybrook Mens Shed Incorporated,Donnybrook Men's Shed Inc.,Business,Egan Park,,,DONNYBROOK,WA,6239,Australia,,21/06/2024,31/07/2014,Small,5,28-Feb,,,,,,,,Y,AUS,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,Y,Y,,,,,,,,Y,,Y,,,,,,
93812216359,Local Spiritual Assembly of the Baha'is of Armadale,,Business,Po Box 576,,,Armadale,WA,6992,Australia,https://armadale.wa.bahai.org.au/,04/01/2024,21/04/2002,Small,9,31-Mar,,,,,,,,Y,AUS,,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,,Y,Y,,,,Y,,,,,,,,,,,,,Y,,,Y
84769492637,THINK OF THE FIVE ARRIVE ALIVE INCORPORATED,,Business,35 Myrtle Creek Ave,,,Tahmoor,NSW,2573,Australia,,06/11/2024,04/12/2024,,12,30-Jun,,Y,,,,,,,,,,,,Y,,,,,,,,,Y,,Y,Y,Y,,Y,,Y,,,,Y,,,Y,,,,,,,,,,,Y,,,
24646991915,Mahamevnawa Jethawanaya Buddhist Monastery Limited,,Business,417 Belgrave-hallam Rd,,,Narre Warren North,VIC,3804,Australia,https://jethawana.org.au/en/about-us/,07/01/2021,07/01/2021,Small,7,30-Jun,,,,,,,Y,,AUS,,,,,,,,,,,,Y,,,,Y,Y,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,Y,,,,Y,,,Y
34363156657,The Trustee for The Lewis Family Foundation,,Business,,,,,,,,,29/04/2021,29/04/2021,Small,6,30-Jun,,,,,,,Y,,AUS,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,
58144836077,The Trustee for Invasive Species Solutions Trust,,Business,Building 101,2-40 Clunies Ross Street,,Acton,ACT,2601,Australia,www.invasives.com.au,01/07/2021,16/09/2020,Small,6,30-Jun,,,,,,,,,AUS,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,Y,,,,,,Y,Y,
12650045453,PASS TO ME LIMITED,,Business,L 9 53 Martin Pl,,,Sydney,NSW,2000,Australia,http://www.passtome.com.au,10/05/2021,10/05/2021,Small,5,30-Jun,,Y,,,,,,,AUS,Y,,,,,Y,,,,,,,,,Y,,,Y,,Y,,,,Y,,,,,,,Y,,,,Y,Y,,,,Y,,,
97949195726,SHIVA ART CULTURE AND EDUCATION CENTRE INC.,"Shiv Temple Geelong, Shiva Art Centre, The Geelong Hindu Society",Business,,,,,,,,,08/03/2025,08/03/2025,Small,7,30-Jun,,,,,,,Y,,AUS,,,,Y,,,,,,,,Y,,,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,,Y,,,Y
29688056939,PROCAN TECHNOLOGIES LTD,,Business,214 Hawkesbury Rd,,,Westmead,NSW,2145,Australia,www.procantech.com,16/06/2025,16/06/2025,,6,30-Jun,,Y,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,
83316742501,Wilks Family Foundation,,Business,"Suite 8, Level 3",66 Hunter Street,,Sydney,NSW,2000,Australia,,11/06/2024,11/06/2024,,3,30-Jun,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,
92686361428,BHL DALYELLUP TWO APARTMENTS LTD,,Business,L 4 1060 Hay St,,,West Perth,WA,6005,Australia,https://www.bethanie.com.au/,17/04/2025,17/04/2025,,4,30-Jun,,,,,,,,Y,,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,Y,,,,,Y,,Y,,Y,,,,,,Y,,,,
15687120878,LINK WENTWORTH NORTH MANLY LIMITED,,Business,L 10 67 Albert Ave,,,Chatswood,NSW,2067,Australia,https://www.linkwentworth.org.au/,27/05/2025,15/05/2025,,4,30-Jun,,Y,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,Y,,Y,,Y,,,,,Y,,,,,,,,,,,,
35247224807,WILLIAMSTOWN HISTORICAL SOCIETY INC,,Business,100 Douglas Pde,,,Williamstown,VIC,3016,Australia,www.williamstownhistsoc.org.au/,03/12/2012,13/07/1956,,9,30-Jun,,,,,,,Y,,,,,,Y,Y,,,,,,,,,,Y,Y,Y,Y,,,,Y,Y,,Y,Y,Y,,Y,Y,,,Y,,Y,,Y,,,Y,,,Y
27680065017,The Mackenzie Munro Foundation,,Business,20 Gillingham Pl,,,Pelican Waters,QLD,4551,Australia,,20/06/2025,20/06/2025,,2,30-Jun,,Y,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,Y,,,,,,,,,,
92838384782,Gambling Harm Lived Experience Experts Inc,,Business,30a Lone Pine Sq,,,Bacchus Marsh,VIC,3340,Australia,ghlee.org,08/08/2023,21/04/2022,,6,30-Jun,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,Y,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y
91193522485,M&I Arnold Family PAF,,Business,12 Golden Orchid Cl,,,Bardon,QLD,4065,Australia,,13/05/2021,05/05/2021,Small,3,30-Jun,,,,,,,,,AUS,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,
79873484832,SOLID ROCK DEFENCE MINISTRY AUSTRALIA,,Business,,,,,,,,https://www.solidrockministry.org.au,10/05/2021,15/10/2020,Small,5,30-Jun,Y,Y,,Y,,,Y,,AUS,,,,,,,,,,,,Y,,,,,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
13000864077,NATURAL AREAS PTY LTD,,Business,"Suite 8, Level 3,",154 Elizabeth Street,,SYDNEY,NSW,2000,Australia,www.npansw.org.au,19/08/2021,15/01/1971,,4,30-Jun,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
51214424410,U3A Inner North Incorporated,,Business,540 Regency Rd,,,Enfield,SA,5085,Australia,https://www.u3ainnernorth.org.au/,20/02/2018,20/02/2018,,9,30-Jun,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,
